Prefijo;Car.Total;Car.Arb ;%Red;# Nodos ;%Red/#Nodos;
2;5145;4903;4.7036;222;0.0211874;
3;5145;4818;6.35569;291;0.0218408;
4;5145;4764;7.40525;391;0.0189393;
5;5145;4719;8.27988;500;0.0165598;
6;5145;4678;9.07677;613;0.0148071;
7;5145;4646;9.69874;735;0.0131956;
8;5145;4625;10.1069;868;0.0116439;
9;5145;4608;10.4373;1005;0.0103854;
10;5145;4596;10.6706;1147;0.00930301;
11;5145;4587;10.8455;1292;0.00839434;
12;5145;4580;10.9815;1439;0.00763137;
13;5145;4576;11.0593;1589;0.0069599;
14;5145;4573;11.1176;1740;0.00638942;
